Date,Rating,Review,User,Translated_Review,Manually_Labelled_Sentiment
31/1/2026,5,oklah...blehlah utk cuci mata and bli brg ckit keke,Rohaizah Hj Puasa,ok...it's ok to wash your eyes and be a little keke,Neutral
31/1/2026,1,very very wordless I use this shoper to earn coin to buy more thing. it block me from claim and say I do suspicious thing. better I don't buy thing anywmore,Borneo Sarawak,very very wordless I use this shoper to earn coin to buy more thing. it block me from claim and say I do suspicious thing. better I don't buy thing anywmore,Negative
31/1/2026,1,"Shopee turning into TikTok is actually insane. I open the app to buy something, not to get kidnapped into a livestream where someone is screaming “FLASH SALEEE!” like rent is due in 5 minutes. If I want entertainment, I’ll open TikTok. Don’t shove it into my shopping app like it’s a mandatory audition. Shopping should be simple: search, pay, leave. Not scroll, suffer, forget why I came, and somehow end up watching a guy review a mop like it’s a Marvel trailer.",Han Izk,"Shopee turning into TikTok is actually insane. I open the app to buy something, not to get kidnapped into a livestream where someone is screaming “FLASH SALEEE!” like rent is due in 5 minutes. If I want entertainment, I’ll open TikTok. Don’t shove it into my shopping app like it’s a mandatory audition. Shopping should be simple: search, pay, leave. Not scroll, suffer, forget why I came, and somehow end up watching a guy review a mop like it’s a Marvel trailer.",Negative
31/1/2026,5,Nice and easy app to use,Air Wind,Nice and easy app to use,Positive
31/1/2026,5,"So nice, so good for me. So nice shopping here. I like it very much.",Ihsan Lee,"So nice, so good for me. So nice shopping here. I like it very much.",Positive
31/1/2026,5,worthy product and price for choose!,Ee man Leong,worthy product and price for choose!,Positive
31/1/2026,5,Easy to used.,MOHAMAD REDUAN,Easy to used.,Positive
31/1/2026,5,good,Aasma Shahzad,good,Positive
31/1/2026,5,easy to use and local support,Siti Zubaidah,easy to use and local support,Positive
31/1/2026,5,yang lain semua ok cuma bila guna standard delivery ambil masa seminggu jugala baru sampai,rizal harun,"everything else is ok, only if you use standard delivery, it takes a week to arrive",Neutral
31/1/2026,1,kaki scam,Rayyan Mikhail,scam leg,Negative
31/1/2026,5,"suka suka suka suka suka sangat , HAHAHA",NURUL FARISAH KHAIRUDDIN,"love love love love love it so much, HAHAHA",Positive
31/1/2026,1,"Again I'm targetted by some1 wt bck door access to my Shopee acc. My phone shows login fr Marang tho I hv not stepped out of Selangor due to family commitments. Despite logging out, changing my password and even uninstalling the app, it still shows login to my only phone device at Marang. Customer serv? Hopeless. Results of such an issue? I received this msg when trying to claim coins at Shopee Live now-'Failed to claim coins. Suspicious activity detected at your acc.' Very insecure app indeed!",Kathleen Yeo,"Again I'm targetted by some1 wt bck door access to my Shopee acc. My phone shows login fr Marang tho I hv not stepped out of Selangor due to family commitments. Despite logging out, changing my password and even uninstalling the app, it still shows login to my only phone device at Marang. Customer serv? Hopeless. Results of such an issue? I received this msg when trying to claim coins at Shopee Live now-'Failed to claim coins. Suspicious activity detected at your acc.' Very insecure app indeed!",Negative
31/1/2026,1,too many ads,Noraliza Ahmad Radzi,too many ads,Negative
31/1/2026,1,Worst delivery service by SPX Express Malaysia,azhar khan,Worst delivery service by SPX Express Malaysia,Negative
31/1/2026,5,good sales,Shamala Balakrisnan,good sales,Positive
31/1/2026,1,OK.. cny no need shop at shopee coz there is no cny promos or festival,Marvin Chen,OK.. cny no need shop at shopee coz there is no cny promos or festival,Negative
31/1/2026,3,"Why my every purchase can't PAID BY CASH ON DELIVERY? Since my OnLine Bankin problem, i hold to buy any items from my cart 😮‍💨😮‍💨 please make it easy for me. Thanks",Islah Junior Nilai Impian,"Why my every purchase can't PAID BY CASH ON DELIVERY? Since my OnLine Bankin problem, i hold to buy any items from my cart 😮‍💨😮‍💨 please make it easy for me. Thanks",Negative
31/1/2026,5,pls give me more discounts 🫶🏻🫶🏻,Nur Farahain,pls give me more discounts 🫶🏻🫶🏻,Neutral
31/1/2026,5,nice app,muhammad nazli,nice app,Positive
31/1/2026,5,wide selection of suppliers of all things essential and electronic. usually fast and secure delivery. shopee does help with returns and refunds if needed.,Hsin Ying Lim,wide selection of suppliers of all things essential and electronic. usually fast and secure delivery. shopee does help with returns and refunds if needed.,Positive
31/1/2026,5,I buy good needed things from here,Normah Sami,I buy good needed things from here,Neutral
31/1/2026,5,Good apps for emergency shopping.,ABDUL HALEEM,Good apps for emergency shopping.,Positive
31/1/2026,5,"shoppe bagus barang murah,banyak baucar dan banyak lagi lah kebaikan",Khairina Maasyah,"Good shoppe, cheap items, lots of vouchers and many more good things",Positive
31/1/2026,1,"Since Shopee Pay Later came along, the credit card installment facility has been removed... doesn't it seem like Shopee is being greedy...",Muhammad Fitri Idris,"Since Shopee Pay Later came along, the credit card installment facility has been removed... doesn't it seem like Shopee is being greedy...",Negative
31/1/2026,5,"Lots of deals & discounts: Flash sales, cashback coins, free shipping vouchers.",Imanina syamimi,"Lots of deals & discounts: Flash sales, cashback coins, free shipping vouchers.",Positive
31/1/2026,1,what will it take for someone to even acknowledge my problem what is shopee doing extremely extremely bad service,shock lim,what will it take for someone to even acknowledge my problem what is shopee doing extremely extremely bad service,Negative
31/1/2026,1,idk 😐 I think shoppe don't support my phone brand,Azizah Ismail,idk 😐 I think shoppe don't support my phone brand,Neutral
31/1/2026,5,very good,Nur Izzara Marissa Rania,very good,Positive
31/1/2026,5,There's always something exciting in Shopee,Sunderasan Elumalai,There's always something exciting in Shopee,Positive
31/1/2026,1,"Saya dah selesaikan hutang spay later sudah terlalu lama namun masih belum dapat pengesahan untuk membuka spay later yang baru, saya amat kesal dengan perkhidmatan shopee ini dan telah beralih kepada LAZADA",MFariq ALatib,"I have settled the spay later debt for too long but still haven't received confirmation to open a new spay later, I am very upset with this shopee service and have switched to LAZADA",Negative
31/1/2026,1,always don't let me collect coins,Alvin Teh,always don't let me collect coins,Negative
31/1/2026,1,kenapa sy tk blh nk tebus coin dlm coin live sy.Tolong perbaiki dgn segera.Terima kasih.,Siti nur anis Abdullah,why can't I redeem coins in live coins. Please fix it immediately. Thank you.,Negative
31/1/2026,1,Kenapa sy masih tak dapat nk tebus coin dari coin live.Tolong diperbaiki secepat mungkin ye.,Siti Nur Anis,Why am I still unable to redeem coins from coin live? Please fix it as soon as possible.,Negative
31/1/2026,5,Aplikasi e-dagang terbaik dengan harga murah dan banyak voucher menarik.,Faris Fadli,The best e-commerce application with low prices and lots of attractive vouchers.,Positive
31/1/2026,3,Credit card payment to pay spaylater failed multiple times,Che Rui Chew,Credit card payment to pay spaylater failed multiple times,Negative
31/1/2026,5,good,Hamza Ghouri,good,Positive
31/1/2026,1,why can't I order?? just because the promotion has redeemed. I just can't order something??,Laila Khdja,why can't I order?? just because the promotion has redeemed. I just can't order something??,Negative
31/1/2026,5,easy to install,lizheng yeo,easy to install,Positive
31/1/2026,3,busterd,Thamo Tharan,busterd,Negative
30/1/2026,1,"SHOPEE ARE NOT GOOD, NOT WORTHY AND NOT TRUSTED. I HAVE BEEN FEELING BAD ORDERING ITEMS IN THIS APPS. SENDING PARCEL ALSO LATE. ESTIMATE DATE OF SENDING PARCEL ALSO SAME LATE AS IN COUNTRY AND OUTSIDE COUNTRY. I REALLY FRUSTATED WITH SHOPEE. SO MANY BUGS ON THIS POOR APPS TOO. PARCEL ALSO NOT UPDATE WHILE CHECKING ON TRACKING PARCEL NUMBER. CUSTOMER JUST WANT DIRECT TO MAIN MENU AND NOT THE VIDEO OR LIFE VIDEO PROMOTER!!!!!! NOT RECOMMENDED!!!!!!! THIS APPS IS SUCK AND YUCK!!!!! NO IMPROVEMENT!!",Jack Justin,"SHOPEE ARE NOT GOOD, NOT WORTHY AND NOT TRUSTED. I HAVE BEEN FEELING BAD ORDERING ITEMS IN THIS APPS. SENDING PARCEL ALSO LATE. ESTIMATE DATE OF SENDING PARCEL ALSO SAME LATE AS IN COUNTRY AND OUTSIDE COUNTRY. I REALLY FRUSTATED WITH SHOPEE. SO MANY BUGS ON THIS POOR APPS TOO. PARCEL ALSO NOT UPDATE WHILE CHECKING ON TRACKING PARCEL NUMBER. CUSTOMER JUST WANT DIRECT TO MAIN MENU AND NOT THE VIDEO OR LIFE VIDEO PROMOTER!!!!!! NOT RECOMMENDED!!!!!!! THIS APPS IS SUCK AND YUCK!!!!! NO IMPROVEMENT!!",Negative
30/1/2026,5,great price at at anytime,NGO AMANNISA N9,great price at at anytime,Positive
30/1/2026,1,bad service shopee can't refund my money from 19.1.26 they said 3-5 day working day refund saya tak kan halakan my money 😡😡l,ApihDIY Project,bad service shopee can't refund my money from 19.1.26 they said 3-5 day working day refund saya tak kan halakan my money 😡😡l,Negative
30/1/2026,1,"bodoh gi biat live default bila bukak app shoppe dah kenapa? menyusahkan orang je. Aku nak shopping,bukan nak dengar orang kat live jerit2",Villager,"why is it so stupid to live by default when you open the shoppe app? bother people. I want to go shopping, I don't want to hear people yelling live",Negative
30/1/2026,5,sangat baik,Allifian Ismail,Very good,Positive
30/1/2026,4,bnyk discount,shah Hakimi,lots of discounts,Neutral
30/1/2026,5,THE BEST SHOPPING ONLINE 👍👍👍👍,Nurul Azmira,THE BEST SHOPPING ONLINE 👍👍👍👍,Positive
30/1/2026,1,apps batak attention asal bukak loklok ade sje iklan shopekopek admin shope nak attention ke anak yatim ke cane,Sayed Danial,Batak attention apps as long as they open loklok are just shopekopek ads. Shope admin wants attention to orphans at cane,Neutral
30/1/2026,5,good. Perfect market place. Best online market.,MH Badsha,good. Perfect market place. Best online market.,Positive
30/1/2026,5,Great service.,mohd nor,Great service.,Positive
30/1/2026,5,good packaging and fast delivery,chin chin chuah,good packaging and fast delivery,Positive
30/1/2026,5,good,Md scroll,good,Positive
30/1/2026,2,"mcm gampang, kluar iklan lpstu xtekan apa ii pun tiba ii msuk shopee",ariana adelia,"It's so easy, just click on the ad and enter the shopee",Positive
30/1/2026,1,"Poor refund experience. Issue started on 20/1, and it's now 30/1 with no resolution. Customer service and refund agent cannot provide a clear timeline or solution. Avoid if you need reliable support. Good luck.",Palmtree Ling,"Poor refund experience. Issue started on 20/1, and it's now 30/1 with no resolution. Customer service and refund agent cannot provide a clear timeline or solution. Avoid if you need reliable support. Good luck.",Positive
30/1/2026,5,awsome,Bon Jovi,awsome,Positive
30/1/2026,5,sangat membantu untuk mencari barang harian,Norizam Norizam,very helpful for finding daily items,Positive
30/1/2026,5,shopee bagi saya tempat yang best Untuk membeli belah .,laporpo watakungsi,shopee for me is the best place to shop.,Positive
30/1/2026,5,"easy to use , a lot of sales.",Choo Foong Fon,"easy to use , a lot of sales.",Positive
30/1/2026,5,"Free deliveryis the best, no need to go out shopping, and no parking hassle during peak hours. Great prices too. I really love Shopee!",Homarie Homarie,"Free deliveryis the best, no need to go out shopping, and no parking hassle during peak hours. Great prices too. I really love Shopee!",Positive
30/1/2026,5,apps ni best sbb banyak free shipping!! lagi² dalam live.,syamimi cantikk,These apps are the best because there are many free shipping!! again in live.,Positive
30/1/2026,1,"Apps terlalu heavy to load sbb bnyak sgt popup pada 1 masa. Lagi² nak buat payment fpx, Shopee apps slalu terkeluar dan reset to main page and current order pending padahal duit dah tolak dri bank.",Amar,"Apps are too heavy to load because there are so many popups at one time. When I want to make an fpx payment, the Shopee apps always exit and reset to the main page and current order pending even though the money has already been deducted from the bank.",Negative
30/1/2026,1,STOP LIVE VIDEO FROM AUTO PLAY EVEN WHEN THE TAP NOT EVEN BEEN PRESS. COS THE SOUND IS VERY DISTURBING. WHEN BROWSING OTHER ITEMS THE SOUND FROM LIVE IS PLAYING ON IT OWN. AT LEAST HAVE AN OPTION FOR US TO STOP THE FUNCTION .,Alex T,STOP LIVE VIDEO FROM AUTO PLAY EVEN WHEN THE TAP NOT EVEN BEEN PRESS. COS THE SOUND IS VERY DISTURBING. WHEN BROWSING OTHER ITEMS THE SOUND FROM LIVE IS PLAYING ON IT OWN. AT LEAST HAVE AN OPTION FOR US TO STOP THE FUNCTION .,Negative
30/1/2026,1,banyak seller penipu..gambar dan video review lain..bila barang sampai lain..hati² membeli..lazada dan tiktok shop lagi better untuk shoping online.,Fiz,lots of fraudulent sellers..other pictures and video reviews..if the goods arrive differently..be careful buying..lazada and tiktok shop are better for online shopping.,Negative
30/1/2026,5,"senang, murah, mudah dan terbaik..",Kamal Kadir,"happy, cheap, easy and the best...",Positive
30/1/2026,5,"Shopee has great deals, frequent discounts, and an easy checkout process. The app is smooth and seller ratings help ensure safe purchases. Love using it.",Anis Zahirah,"Shopee has great deals, frequent discounts, and an easy checkout process. The app is smooth and seller ratings help ensure safe purchases. Love using it.",Positive
30/1/2026,2,"Lately postage seems to be taking longer time. Before this it was like 2 days for local, and like 1 week for int seller. Now I have order almost 2 weeks still not delivered. Are you squeezing your vendor again? Its start affecting customer experience now. We are not happy.",Muhammad Syafiq,"Lately postage seems to be taking longer time. Before this it was like 2 days for local, and like 1 week for int seller. Now I have order almost 2 weeks still not delivered. Are you squeezing your vendor again? Its start affecting customer experience now. We are not happy.",Negative
30/1/2026,5,100 bintang,Azeru Aswad,100 bintang,Positive
30/1/2026,5,recommended,nrsyhilaaa,recommended,Positive
30/1/2026,5,Penghantaran cepat. Tiada masalah barangan yang diterima.,Mohamed Yusof Ucop,Fast delivery. No problem with the goods received.,Positive
30/1/2026,5,terbaikkkk,fauzan saaban,the best,Positive
30/1/2026,1,Horrible system! Bad CS!,Izati Sahari,Horrible system! Bad CS!,Negative
30/1/2026,5,Excellent service. Easy returns if not suitable. Tq shopee.,Avtar Kaur,Excellent service. Easy returns if not suitable. Tq shopee.,Positive
30/1/2026,5,very good application,norfaizan hafifi mohamed din,very good application,Positive
30/1/2026,5,"Shopee is a popular online shopping app with many products at affordable prices. It is easy to use and offers frequent discounts and free shipping deals. Overall, Shopee is convenient for online shopping.",halsey naomi,"Shopee is a popular online shopping app with many products at affordable prices. It is easy to use and offers frequent discounts and free shipping deals. Overall, Shopee is convenient for online shopping.",Positive
30/1/2026,5,apps yang sangat mudah untuk beli apa sahaja jenis barang harga sangat murah jimat dan berbaloi.very recommend,Farah Wahida,"apps that are very easy to buy any type of item, the price is very cheap, economical and worthwhile. very recommend",Positive
30/1/2026,5,padu,Muhammad Hairul Bin Syafie,solid,Positive
30/1/2026,5,very cheap very fast very worth it to buying here..im love in it,ismail hazwani,very cheap very fast very worth it to buying here..im love in it,Positive
30/1/2026,5,Online application 5 * . Reliable and focused customer satisfaction,KASSIM EASTERN SAAD JR,Online application 5 * . Reliable and focused customer satisfaction,Positive
30/1/2026,5,good,Mohd sukri Ismail CHANNEL,good,Positive
30/1/2026,5,I'm revising back again as current courier service is far more options n places to choose.,Tee CKT-Mindef,I'm revising back again as current courier service is far more options n places to choose.,Neutral
30/1/2026,5,Good and trusted this time service ok VERY greatly . SHOPEE MUST TQ ✅🌸,Michael Wong YES,Good and trusted this time service ok VERY greatly . SHOPEE MUST TQ ✅🌸,Positive
30/1/2026,1,"selalu lag, penuh dgn ads, selalu crash, constant updates needed (every week) useless and absent CS even as platinum, no vouchers at all. need to pay for vip to get cheapskate vc. very very cheap compensation when your order got cancelled. not customer friendly - not helpful AT ALL regarding return & refund unless u threatened them to file a report.",Nurul Hidayati,"selalu lag, penuh dgn ads, selalu crash, constant updates needed (every week) useless and absent CS even as platinum, no vouchers at all. need to pay for vip to get cheapskate vc. very very cheap compensation when your order got cancelled. not customer friendly - not helpful AT ALL regarding return & refund unless u threatened them to file a report.",Negative
30/1/2026,5,Very nice app,AS,Very nice app,Positive
30/1/2026,5,"mntap la shopee, ada sudah kurior diorang sendiri. senang sdh sy mau membeli barang. thanks shoppe, menyenangkan pembeli 🥰",nurhikmah naim,"Look at shopee, there is already a courier in person. I'm happy I want to buy the item. thanks shoppe, happy buyers 🥰",Positive
30/1/2026,5,platform yg mudah untuk pembelian...hanya terdapat beberapa barangan yg berkualiti rendah,eikmalhisham mustafa,easy platform for purchase...there are only a few low quality items,Positive
30/1/2026,4,nice to use,Clc Tiffany,nice to use,Positive
30/1/2026,5,Shopee is easy to use and offers great deals and discounts. Payments are secure and delivery is fast. One of the best shopping apps in the region.,Ricelyna,Shopee is easy to use and offers great deals and discounts. Payments are secure and delivery is fast. One of the best shopping apps in the region.,Positive
30/1/2026,1,"🌹very messy warming 🌞🌊, many speeding devils lorry trailers here tonight🌲 , environment unfriendly 🌷 ! Bad traffic and supervision!🕊 Boring customer service,many things without offering great discounts and free shipping c o d vouchers rm5 ! 🕊 No nearest collection point 🌹🌈 ! I only rate 5 🌟 for me and some 🌷 beautiful 🌹 quality products or services🌈 ! 🌷",Franciskh Leongkaiheng,"🌹very messy warming 🌞🌊, many speeding devils lorry trailers here tonight🌲 , environment unfriendly 🌷 ! Bad traffic and supervision!🕊 Boring customer service,many things without offering great discounts and free shipping c o d vouchers rm5 ! 🕊 No nearest collection point 🌹🌈 ! I only rate 5 🌟 for me and some 🌷 beautiful 🌹 quality products or services🌈 ! 🌷",Negative
30/1/2026,1,"A platform that encourages troublesome and scammy buyers. Charges sellers many high fees without protecting their rights. Customer service with no judgment. Some scammers pretend they received the wrong item or didn’t receive it at all to get free products, and Shopee actually approves their refunds, causing sellers to suffer losses. On the other hand, when I genuinely received missing items, Shopee insists on rejecting my refund.",Lambo Sama,"A platform that encourages troublesome and scammy buyers. Charges sellers many high fees without protecting their rights. Customer service with no judgment. Some scammers pretend they received the wrong item or didn’t receive it at all to get free products, and Shopee actually approves their refunds, causing sellers to suffer losses. On the other hand, when I genuinely received missing items, Shopee insists on rejecting my refund.",Negative
30/1/2026,5,Searched items mixes with unwanted items. Please limit to display more specific on searched items only and arrange it according to seller performance ranking.,Yaccop Yunos,Searched items mixes with unwanted items. Please limit to display more specific on searched items only and arrange it according to seller performance ranking.,Neutral
30/1/2026,4,Please add dark mode already. it's already 2026 and even lazada done it long time ago,Mohd Ridwan Said,Please add dark mode already. it's already 2026 and even lazada done it long time ago,Neutral
30/1/2026,5,Senang nak cari apa barang pin smu ada dan sangat memudahkan,Stirka FFVURIK,It's easy to find out if SMU pin items are available and it's very easy,Positive
30/1/2026,1,Becareful of shopee suspend account no give reason and bad customer service who simply reply email and never check. I have send another email to you 3 days ago and there is no reply.,Jae Jun,Becareful of shopee suspend account no give reason and bad customer service who simply reply email and never check. I have send another email to you 3 days ago and there is no reply.,Negative
30/1/2026,5,Shopee is a convenient online shopping app with a wide range of products and affordable prices.”,Sharul Zamri,Shopee is a convenient online shopping app with a wide range of products and affordable prices.”,Positive
30/1/2026,5,Bagus dan selalu habis duit kat sini tiap bulan 🤭,Nurul Hidayah,Good and always run out of money here every month 🤭,Positive
30/1/2026,1,FIX SHOPEEFOOD . I can order any food but not from 7e... every time I open 7e it crashes. ONLY 7e!!,Banana Pisang,FIX SHOPEEFOOD . I can order any food but not from 7e... every time I open 7e it crashes. ONLY 7e!!,Negative
30/1/2026,5,গুড,Me monir Hossin,good,Positive
30/1/2026,5,good,farid azib,good,Positive
30/1/2026,5,ok,KHAI LIFE STORY,ok,Neutral
30/1/2026,5,very good,Misa AG,very good,Positive
30/1/2026,5,terbaik pantas,Suhaimi Hamzah,best fast,Positive
30/1/2026,1,Shopee daily coin so pathetic! only 1-2 coin daily!! think buyers are begger?,Charlie Chow,Shopee daily coin so pathetic! only 1-2 coin daily!! think buyers are begger?,Negative
30/1/2026,5,Shopee app is very convenient for online shopping with lots of products and good deals. The interface is easy to navigate and I can find many affordable items quickly.,Nur Haniza Ab Razak,Shopee app is very convenient for online shopping with lots of products and good deals. The interface is easy to navigate and I can find many affordable items quickly.,Positive
29/1/2026,4,7 days login and only get 1 coin,khairunnisa balqis,7 days login and only get 1 coin,Neutral
29/1/2026,2,saya nk refund pun tak berjaya. shopee lebih menyokong seller walau saya dh bagi bukti. sedih!,norimah kama,I want a refund but it didn't work. Shopee is more supportive of the seller even though I have given proof. sad!,Negative
29/1/2026,5,very useful for online shopping. have many voucher that can be claim,Nur Shahirah Mutalib,very useful for online shopping. have many voucher that can be claim,Positive
29/1/2026,5,senang nak shopping,syahrul syuhada,happy to shop,Positive
29/1/2026,5,Good to use as Shopee has quite a varieties of cheap low offers/promotions.,SY A Chong,Good to use as Shopee has quite a varieties of cheap low offers/promotions.,Positive
29/1/2026,1,dah beli voucher jom rebut deal tapi bile nak redeem makanan out stock 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,A G,"I've bought a voucher, let's grab the deal but if I want to redeem the food, it's out of stock 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",Negative
29/1/2026,5,"Shopee, who doesn't know, is quite easy and fun, just order and wait.. please continue your business, sales and other efforts until the end, it is the best and it is really solid, Shopee",NOR FADLI,"Shopee, who doesn't know, is quite easy and fun, just order and wait.. please continue your business, sales and other efforts until the end, it is the best and it is really solid, Shopee",Positive
29/1/2026,5,true quality app,Nai Htaw layane,true quality app,Positive
29/1/2026,1,service spx slow..parcel stuck..pastu tk leh nak cancel order,Noh Faiz,service spx slow..parcel stuck..pastu tk leh nak cancel order,Negative
29/1/2026,5,thank you,Nor Azlen,thank you,Neutral
29/1/2026,1,"I always appreciate your service, im ur customer from long time ago, now first time I mk refund & its v bad service about refund, it took nearly 1 month we cant confirm order until we proceed payment & when we apply for a refund, we r asked to wait, wait & wait",Numan Sharif,"I always appreciate your service, im ur customer from long time ago, now first time I mk refund & its v bad service about refund, it took nearly 1 month we cant confirm order until we proceed payment & when we apply for a refund, we r asked to wait, wait & wait",Negative
29/1/2026,1,"1. sikit2 update. ape ke jadah 2. request for refund, lambat 14 days, barang ntah ke mana, tapi dia mintak delay 3. paling celaka, semua questions/request kene hadap AI/bots. Mcm cakap dgn binatang. Langsung tak paham apa aku nak.",mangkuk hayun,"1. a few updates. what's going on 2. request for refund, 14 days late, the goods don't know where, but he asked for a delay 3. worst of all, all questions/requests are here before AI/bots. Like talking to animals. I don't understand what I want.",Negative
29/1/2026,5,good experiance,Magen Dran,good experiance,Positive
29/1/2026,5,good,Hajijah Spi-ee,good,Positive
29/1/2026,5,ok lah,Irwan Flash,it's ok,Neutral
29/1/2026,5,good and reliable,May May,good and reliable,Positive
29/1/2026,3,Most of the product different from the advertising.,Abd Halim bin Baijan,Most of the product different from the advertising.,Neutral
29/1/2026,4,good,Md Jakir,good,Positive
29/1/2026,5,best,azree ramli,best,Positive
29/1/2026,5,"fast, affordable, and easy to use. the best all-in-one shopping app",Nur Azwany Zaini,"fast, affordable, and easy to use. the best all-in-one shopping app",Positive
29/1/2026,1,I don't care about ads,nurasyiqin nordiah,I don't care about ads,Negative
29/1/2026,1,NO DARK THEME??? YOU HURTING MY EYES!!,Hafiz,NO DARK THEME??? YOU HURTING MY EYES!!,Negative
29/1/2026,5,👍,Mohamad Aziz,👍,Positive
29/1/2026,1,i just want the COD option..,Anis syifa,i just want the COD option..,Negative
29/1/2026,5,the best online shopping app..,Zurina Azril,the best online shopping app..,Positive
29/1/2026,5,"Produk lengkap, harga berpatutan, servis cepat",Aaqil Amiludin,"Complete product, reasonable price, fast service",Positive
29/1/2026,5,mantap,Joes Yg,solid,Positive
29/1/2026,1,"For God sake, please stop traumatizing with your ads. Been long opted out from using your platform n the app been disabled; eversince been adviced by the authorities themselves to avoid platforms if it's troublesome. Hence, been adhereing to it eversince. Despite that how can ads be allowed to sabotaj, freeze n manipulate the device. The only reason not uninstall yet is for evidence n unutilised balance. Goodness sake GOOGLE, take responsibility n do something bout this. ENUF IS ENUF !",Astars Astana,"For God sake, please stop traumatizing with your ads. Been long opted out from using your platform n the app been disabled; eversince been adviced by the authorities themselves to avoid platforms if it's troublesome. Hence, been adhereing to it eversince. Despite that how can ads be allowed to sabotaj, freeze n manipulate the device. The only reason not uninstall yet is for evidence n unutilised balance. Goodness sake GOOGLE, take responsibility n do something bout this. ENUF IS ENUF !",Negative
29/1/2026,1,cannot call customer service live call also cannot bad service,Tan Kok Yee,cannot call customer service live call also cannot bad service,Negative
29/1/2026,5,👍👍👍👍,MD RaselRana,👍👍👍👍,Positive
29/1/2026,5,good apps,Hairul Nizam,good apps,Positive
29/1/2026,5,good,Zulkiflie,good,Positive
29/1/2026,1,"New update now open up the live and video section and not home page when you open the app. i use this to buy things not scrolling tiktok. if you want to make it like tiktok, at least put an option to choose which section to open at start from the setting. the tiktokation of this app will be the end of it.",haziq syazwan,"New update now open up the live and video section and not home page when you open the app. i use this to buy things not scrolling tiktok. if you want to make it like tiktok, at least put an option to choose which section to open at start from the setting. the tiktokation of this app will be the end of it.",Negative
29/1/2026,1,stop pestering me what app to disable!! it's annoying!! why would you need to know what accessibility app I'm using..,Chin,stop pestering me what app to disable!! it's annoying!! why would you need to know what accessibility app I'm using..,Negative
